City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
594,Baiyin,CN,75.45,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
596,Roche-La-Moliere,FR,86.11,clear sky,45.4341,4.3228,Vacances ULVF Siège Social
600,Namatanai,PG,80.01,light rain,-3.6667,152.4333,Seagulls Inn Namatani
602,Bourail,NC,70.12,overcast clouds,-21.5667,165.4833,Motel Allamanda
603,Bansud,PH,80.87,broken clouds,12.865,121.4564,JCRG Pension House - HOTEL
605,Lynn Haven,US,78.06,scattered clouds,30.2455,-85.6483,Wingate by Wyndham Panama City Area Lynn Haven
609,Puerto Carreno,CO,74.23,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
611,Harper,LR,81.7,light rain,4.375,-7.7169,Screensaver
612,Alenquer,BR,75.02,broken clouds,-1.9417,-54.7383,Detinha Hotel
618,Anito,PH,80.22,overcast clouds,12.4497,125.2886,El Felix Cottages
622,Menongue,AO,77.47,clear sky,-14.6585,17.691,Ritz Lauca
624,Novo Aripuana,BR,74.62,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
627,Kalmunai,LK,85.23,overcast clouds,7.4167,81.8167,VS Villa
628,Kazachinskoye,RU,71.19,light rain,57.6953,93.2761,"Tayga, Gostinitsa"
632,Boundiali,CI,84.99,overcast clouds,9.5217,-6.4869,Hotel Paysan Boundiali
633,Sinnamary,GF,79.45,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
642,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
644,Mtwara,TZ,84.47,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
647,Farafangana,MG,71.53,broken clouds,-22.8167,47.8333,Miarina
649,Samarai,PG,80.55,broken clouds,-10.6167,150.6667,Nuli Sapi
652,Tartus,SY,77.65,clear sky,34.889,35.8866,فنق جوري
658,Sao Felix Do Xingu,BR,75.81,light rain,-6.6447,-51.995,Rio Xingu Camping
659,Malanje,AO,85.08,clear sky,-9.5402,16.341,Hotel Ginga
660,Coahuayana,MX,77.5,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
661,Piacabucu,BR,76.62,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
664,Kannur,IN,80.46,light rain,11.8675,75.3576,Asokam Beach Resort and Ayurveda Chikitsa Kendram
665,Kruisfontein,ZA,74.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
667,Vengurla,IN,79.45,overcast clouds,15.8667,73.6333,Golven Resort
668,Sao Jose Da Coroa Grande,BR,79.07,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
670,Guozhen,CN,78.57,scattered clouds,34.3659,107.359,Yucai Hotel
671,Mwinilunga,ZM,79.88,clear sky,-11.7358,24.4293,Kwakuwahi Lodge
674,Singkawang,ID,78.78,light rain,0.9,109.0,Capital O 1822 Wahana Inn
675,Luganville,VU,77.7,few clouds,-15.5333,167.1667,The Espiritu Hotel
676,Carutapera,BR,82.9,broken clouds,-1.195,-46.02,Lidera
678,Auki,SB,75.67,broken clouds,-8.7676,160.7034,Auki Motel
682,Kishi,NG,89.13,broken clouds,9.0833,3.85,New NCCF KISI
683,Abrau-Dyurso,RU,87.26,overcast clouds,44.69,37.59,Avgustin Inn
684,Pinczow,PL,78.62,few clouds,50.5205,20.5265,Hotel Nad Starą Nidą
687,Hattem,NL,72.16,broken clouds,52.475,6.0639,Mercure Hotel Zwolle
688,Cap Malheureux,MU,70.47,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
