City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Pacific Grove,US,36.6177,-121.9166,63.21,90,0,5.75,clear sky
80,Pangkalanbuun,ID,-2.6833,111.6167,76.19,91,82,2.51,broken clouds
81,Bukavu,CD,-2.5083,28.8608,72.28,68,84,4.54,light rain
82,Geraldton,AU,-28.7667,114.6,63.01,63,100,10.36,overcast clouds
83,Qaanaaq,GL,77.484,-69.3632,26.85,81,99,3.69,overcast clouds
84,Tacna,PE,-18.0056,-70.2483,52.7,81,18,1.83,few clouds
85,Saint George,US,37.1041,-113.5841,82.99,19,0,9.22,clear sky
86,Narrabri,AU,-30.3167,149.7833,44.46,79,96,6.73,overcast clouds
87,Salinopolis,BR,-0.6136,-47.3561,79.5,83,57,7.54,broken clouds
88,Busselton,AU,-33.65,115.3333,57.88,61,85,27.34,overcast clouds
89,Huayang,CN,34.4155,109.9939,66.33,55,1,3.2,clear sky
90,Arraial Do Cabo,BR,-22.9661,-42.0278,66.06,88,75,9.22,broken clouds
91,Bambous Virieux,MU,-20.3428,57.7575,71.85,88,75,14.97,moderate rain
92,Faya,SA,18.3851,42.4509,89.71,15,39,11.25,scattered clouds
93,Kantang,TH,7.4054,99.5156,80.69,89,20,3.44,light rain
94,Bafq,IR,31.6128,55.4107,101.32,9,0,14.72,clear sky
95,Svetlyy,RU,54.675,20.1347,68.05,63,60,9.64,broken clouds
96,Berlevag,NO,70.8578,29.0864,48.15,87,100,16.11,overcast clouds
97,Bredasdorp,ZA,-34.5322,20.0403,74.39,22,100,4.94,overcast clouds
98,Hobart,AU,-42.8794,147.3294,44.46,77,75,11.5,broken clouds
99,Komsomolskiy,UZ,40.4272,71.7189,86.72,28,86,11.5,overcast clouds
100,Neiafu,TO,-18.65,-173.9833,79.99,81,38,17.31,scattered clouds
101,Griffith,US,41.5284,-87.4237,66.88,96,100,0.0,overcast clouds
102,Anloga,GH,5.7947,0.8973,81.97,70,94,10.4,overcast clouds
103,Solnechnyy,RU,50.7214,136.6319,60.15,77,7,4.65,clear sky
104,Yeppoon,AU,-23.1333,150.7333,56.98,60,100,7.27,overcast clouds
105,Ewa Beach,US,21.3156,-158.0072,76.98,74,0,11.5,clear sky
106,Muros,ES,42.7762,-9.0603,75.09,62,14,14.92,few clouds
107,Adrar,MR,20.5022,-10.0711,105.73,8,2,14.25,clear sky
108,Espinosa,BR,-14.9261,-42.8192,71.65,64,100,4.34,overcast clouds
109,Krasyliv,UA,49.6519,26.9725,70.59,70,59,11.45,broken clouds
110,Severo-Kurilsk,RU,50.6789,156.125,44.47,92,68,8.52,broken clouds
111,Evensk,RU,61.95,159.2333,42.85,90,100,5.44,overcast clouds
112,Santa Maria,BR,-29.6842,-53.8069,42.1,61,0,3.44,clear sky
113,North Platte,US,41.1239,-100.7654,69.69,83,0,18.01,clear sky
114,Hovd,MN,48.0056,91.6419,83.35,14,29,9.82,scattered clouds
115,Ankang,CN,32.68,109.0172,79.79,64,51,0.58,broken clouds
116,Sao Miguel Do Tapuio,BR,-5.5036,-41.3233,78.1,69,90,5.06,overcast clouds
117,Kiama,AU,-34.6833,150.8667,54.37,70,75,13.0,broken clouds
118,Lebu,CL,-37.6167,-73.65,45.34,87,28,6.76,scattered clouds
119,Kapaa,US,22.0752,-159.319,75.11,87,0,17.27,clear sky
120,Saint-Max,FR,48.7043,6.21,79.38,55,75,5.75,broken clouds
121,Krasnoselkup,RU,65.7,82.4667,79.77,37,68,17.34,broken clouds
122,Cockburn Town,TC,21.4612,-71.1419,80.56,84,14,21.0,few clouds
123,Georgetown,MY,5.4112,100.3354,85.95,78,40,4.61,scattered clouds
124,Kayerkan,RU,69.3497,87.7602,73.53,26,100,10.98,overcast clouds
125,Margate,GB,51.3813,1.3862,69.12,53,91,3.0,overcast clouds
126,Luderitz,NA,-26.6481,15.1594,69.55,50,27,11.63,scattered clouds
127,Klaksvik,FO,62.2266,-6.589,50.92,96,100,13.65,overcast clouds
128,Betioky,MG,-23.7167,44.3833,84.58,31,0,6.15,clear sky
129,Nhulunbuy,AU,-12.2333,136.7667,77.61,69,93,14.97,overcast clouds
