City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
348,Buala,16,SB,2022-06-11 14:38:43,80,-8.145,159.5921,79.3,4.25
349,Shimoda,100,JP,2022-06-11 14:38:44,91,34.6667,138.95,64.11,22.24
350,Nouadhibou,4,MR,2022-06-11 14:38:44,80,20.931,-17.0347,68.88,26.46
351,Igarka,100,RU,2022-06-11 14:38:45,43,67.4667,86.5833,64.54,13.49
352,Shipunovo,100,RU,2022-06-11 14:38:45,73,52.1582,82.2173,65.01,2.91
353,Hare Bay,100,CA,2022-06-11 14:38:46,54,48.8499,-54.0148,67.35,15.64
354,Cerritos,75,US,2022-06-11 14:38:46,88,33.8583,-118.0648,76.5,3.44
355,Izhevskoye,90,RU,2022-06-11 14:38:46,68,54.5567,40.8703,68.32,8.01
356,Quatre Cocos,94,MU,2022-06-11 14:38:47,71,-20.2078,57.7625,73.51,18.57
357,Aasiaat,69,GL,2022-06-11 14:38:47,86,68.7098,-52.8699,33.96,8.84
358,Akureyri,75,IS,2022-06-11 14:38:48,87,65.6835,-18.0878,46.33,5.75
359,Scottsbluff,0,US,2022-06-11 14:37:34,46,41.8666,-103.6672,77.77,12.66
360,Le Port,67,RE,2022-06-11 14:38:48,71,-20.9373,55.2919,71.6,5.64
361,Minab,0,IR,2022-06-11 14:38:49,46,27.1467,57.0801,97.12,4.61
362,Hayvoron,92,UA,2022-06-11 14:38:50,54,48.3396,29.8679,77.72,8.21
363,Kharan,95,PK,2022-06-11 14:38:50,11,28.5833,65.4167,101.28,10.69
364,Fort Nelson,100,CA,2022-06-11 14:38:51,100,58.8053,-122.7002,45.99,6.91
365,Garissa,95,KE,2022-06-11 14:38:51,46,-0.4536,39.6401,86.23,20.2
366,Belaya Gora,6,RU,2022-06-11 14:39:51,68,68.5333,146.4167,52.5,3.76
367,Laguna,0,US,2022-06-11 14:39:52,70,38.421,-121.4238,79.09,1.01
368,Makinsk,64,KZ,2022-06-11 14:39:52,56,52.6292,70.4169,62.91,8.57
369,Tucupita,79,VE,2022-06-11 14:39:53,66,9.0622,-62.051,85.48,7.7
370,Holetown,94,BB,2022-06-11 14:39:53,74,13.1867,-59.6381,84.76,21.54
371,Montevideo,0,UY,2022-06-11 14:35:22,61,-34.8335,-56.1674,51.82,14.97
372,Kochubey,0,RU,2022-06-11 14:39:53,31,44.3861,46.5825,81.68,15.73
373,Bilibino,99,RU,2022-06-11 14:39:54,47,68.0546,166.4372,54.07,6.71
374,Chapais,67,CA,2022-06-11 14:39:54,53,49.7834,-74.8492,51.58,6.06
375,Banff,93,CA,2022-06-11 14:39:54,71,51.1762,-115.5698,52.83,6.91
376,Koungou,75,YT,2022-06-11 14:39:55,69,-12.7336,45.2042,80.31,12.66
377,Hovd,53,MN,2022-06-11 14:39:55,41,48.0056,91.6419,65.1,9.46
378,Ossora,100,RU,2022-06-11 14:39:56,81,59.2353,163.0719,43.93,5.75
379,Conceicao Do Araguaia,96,BR,2022-06-11 14:39:56,34,-8.2578,-49.2647,89.73,5.1
380,Lebu,95,CL,2022-06-11 14:39:56,66,-37.6167,-73.65,52.81,3.24
381,Wundanyi,86,KE,2022-06-11 14:39:57,56,-3.4019,38.364,68.47,15.26
382,Odweyne,23,SO,2022-06-11 14:39:57,22,9.4092,45.064,89.91,8.72
383,North Bend,100,US,2022-06-11 14:39:57,100,43.4065,-124.2243,62.24,5.75
384,Ust-Omchug,93,RU,2022-06-11 14:39:58,90,61.15,149.6333,35.8,4.61
385,Honiara,7,SB,2022-06-11 14:39:58,84,-9.4333,159.95,76.55,3.47
386,Charcas,36,MX,2022-06-11 14:39:59,58,23.1333,-101.1167,66.63,3.42
387,Kathmandu,40,NP,2022-06-11 14:39:44,78,27.7167,85.3167,77.22,5.75
388,Abnub,0,EG,2022-06-11 14:39:59,8,27.2696,31.1511,109.62,16.26
389,Prince Rupert,100,CA,2022-06-11 14:35:05,81,54.3161,-130.3201,50.09,21.85
390,Yangliuqing,100,CN,2022-06-11 14:40:00,73,39.1375,116.9997,71.55,11.72
391,French Harbor,20,HN,2022-06-11 14:40:00,85,16.35,-86.4333,84.2,13.8
392,Kenai,100,US,2022-06-11 14:40:01,88,60.5544,-151.2583,52.14,8.05
393,Seymchan,100,RU,2022-06-11 14:40:01,92,62.8833,152.4333,43.32,1.88
394,Suntar,100,RU,2022-06-11 14:40:02,93,62.1444,117.6319,50.11,0.31
395,Tura,10,IN,2022-06-11 14:40:03,95,25.5198,90.2201,75.22,6.55
396,Kashin,29,RU,2022-06-11 14:40:04,80,57.3592,37.6081,65.93,5.3
397,Pyu,94,MM,2022-06-11 14:40:04,95,18.4833,96.4333,76.14,6.96
398,Tambun,100,ID,2022-06-11 14:40:05,88,-6.2641,107.0712,80.49,4.05
399,Port Hedland,0,AU,2022-06-11 14:40:05,88,-20.3167,118.5667,68.05,4.61
400,Douglas,40,US,2022-06-11 14:40:05,81,41.3,-96.167,78.85,8.05
401,Sal Rei,20,CV,2022-06-11 14:40:06,69,16.1833,-22.9167,79.0,12.66
402,Freetown,75,SL,2022-06-11 14:37:01,70,8.484,-13.2299,83.91,8.05
403,Nizwa,0,OM,2022-06-11 14:40:06,8,22.9333,57.5333,103.37,14.83
404,Ballina,3,AU,2022-06-11 14:40:07,71,-28.8667,153.5667,52.02,11.9
405,Talcahuano,0,CL,2022-06-11 14:40:07,81,-36.7167,-73.1167,44.28,6.91
406,Armizonskoye,90,RU,2022-06-11 14:40:08,83,55.9461,67.6736,60.78,10.92
407,Lasa,0,IT,2022-06-11 14:40:08,33,46.6166,10.7002,80.69,5.41
408,Susangerd,0,IR,2022-06-11 14:40:08,6,31.5608,48.1831,106.99,22.82
409,Tigil,100,RU,2022-06-11 14:40:09,80,57.8,158.6667,42.37,10.13
410,Torbat-E Jam,66,IR,2022-06-11 14:40:09,35,35.244,60.6225,78.67,19.73
411,Avera,85,US,2022-06-11 14:41:10,43,33.194,-82.5271,85.37,2.1
412,Changji,0,CN,2022-06-11 14:36:29,16,44.0167,87.3167,92.19,4.47
413,Lorengau,70,PG,2022-06-11 14:41:10,79,-2.0226,147.2712,80.37,4.94
